video_id,publish_date,views,likes,dislikes,comments_disabled,ratings_disabled
id1153,2018-03-04T03:06:16.000Z,1005134,0,0,TRUE,TRUE
id3679,2018-03-02T18:00:04.000Z,928082,0,0,TRUE,TRUE
id1153,2018-03-04T03:06:16.000Z,1032839,0,0,TRUE,TRUE
id3679,2018-03-02T18:00:04.000Z,930151,0,0,TRUE,TRUE
id1153,2018-03-04T03:06:16.000Z,1050733,0,0,TRUE,TRUE
id1153,2018-03-04T03:06:16.000Z,1062124,0,0,TRUE,TRUE
id6336,2018-03-24T07:55:21.000Z,1648886,0,0,FALSE,TRUE
id3173,2018-03-21T18:42:04.000Z,661775,0,0,TRUE,TRUE
id3173,2018-03-21T18:42:04.000Z,769385,0,0,TRUE,TRUE
id3173,2018-03-21T18:42:04.000Z,814139,0,0,TRUE,TRUE
id3173,2018-03-21T18:42:04.000Z,844902,0,0,TRUE,TRUE
id3173,2018-03-21T18:42:04.000Z,883097,0,0,TRUE,TRUE
id3173,2018-03-21T18:42:04.000Z,921740,0,0,TRUE,TRUE
id3173,2018-03-21T18:42:04.000Z,955423,0,,TRUE,TRUE
,2018-03-21T18:42:04.000Z,979617,0,0,TRUE,TRUE
id3173,2018-03-21T18:42:04.000Z,999186,0,0,TRUE,TRUE
id3173,2018-03-21T18:42:04.000Z,1015005,0,0,TRUE,TRUE
id3173,2018-03-21T18:42:04.000Z,1032088,0,0,TRUE,TRUE
id3173,2018-03-21T18:42:04.000Z,1040664,0,0,TRUE,TRUE
id3173,2018-03-21T18:42:04.000Z,1045731,0,0,TRUE,TRUE
id1043,2018-04-05T06:48:28.000Z,3598220,0,0,FALSE,TRUE
id1043,2018-04-05T06:48:28.000Z,11137071,0,0,FALSE,TRUE
id1043,2018-04-05T06:48:28.000Z,24004779,0,0,FALSE,TRUE
id3360,2017-11-08T22:27:53.000Z,987,1,1,FALSE,FALSE
id5462,2017-12-28T23:57:04.000Z,3551,1,0,FALSE,FALSE
id5654,2017-08-14T20:33:41.000Z,943,1,,FALSE,FALSE
id5654,2017-08-14T20:33:41.000Z,1028,1,0,FALSE,FALSE
id6225,2014-03-07T22:39:36.000Z,2910,1,3,FALSE,FALSE
id4106,2018-01-10T23:53:56.000Z,658,1,0,FALSE,FALSE
id4106,2018-01-10T23:53:56.000Z,713,1,0,FALSE,FALSE
id4106,2018-01-10T23:53:56.000Z,745,1,0,FALSE,FALSE
id5455,2017-03-31T21:46:53.000Z,773,2,0,FALSE,FALSE
id3328,2017-11-15T03:34:28.000Z,1820,2,0,FALSE,FALSE
id5928,2017-11-21T16:02:44.000Z,2869,2,2,FALSE,FALSE
id5928,2017-11-21T16:02:44.000Z,3409,2,2,FALSE,FALSE
id5928,2017-11-21T16:02:44.000Z,3800,2,2,FALSE,FALSE
id5928,2017-11-21T16:02:44.000Z,4114,2,2,FALSE,FALSE
id5928,2017-11-21T16:02:44.000Z,4386,2,2,FALSE,FALSE
id1225,2017-11-25T19:26:31.000Z,1237,2,0,FALSE,FALSE
id1225,2017-11-25T19:26:31.000Z,1315,2,0,FALSE,FALSE
id1225,2017-11-25T19:26:31.000Z,1375,2,0,FALSE,FALSE
id10,2009-12-15T23:26:32.000Z,2863,2,0,FALSE,FALSE
id10,2009-12-15T23:26:32.000Z,2987,2,0,FALSE,FALSE
id10,2009-12-15T23:26:32.000Z,3052,2,0,FALSE,FALSE
id10,2009-12-15T23:26:32.000Z,3085,2,0,FALSE,FALSE
id10,2009-12-15T23:26:32.000Z,3111,2,0,FALSE,FALSE
id10,2009-12-15T23:26:32.000Z,3130,2,0,FALSE,FALSE
id3360,2017-11-08T22:27:53.000Z,1108,2,1,FALSE,FALSE
,2017-12-28T23:57:04.000Z,3746,2,0,FALSE,FALSE
id3360,,1157,2,1,FALSE,FALSE
id5462,2017-12-28T23:57:04.000Z,3913,2,0,FALSE,FALSE
id5654,2017-08-14T20:33:41.000Z,1082,2,0,FALSE,FALSE
id3360,2017-11-08T22:27:53.000Z,1216,2,1,FALSE,FALSE
id5462,2017-12-28T23:57:04.000Z,4035,2,0,FALSE,FALSE
id5412,2015-04-02T12:41:47.000Z,4681,2,3,FALSE,FALSE
id3347,2018-01-15T10:23:42.000Z,4596,2,0,FALSE,FALSE
