video_id,publish_date,views,likes,dislikes,comments_disabled
id887,2017-11-15,2358,17,1,False
id4750,2017-11-21,12616,17,7,False
id4465,2017-11-14,3797,17,3,False
id5770,2017-12-11,1609,17,1,False
id1149,2017-05-07,1722,17,3,False
id4720,2018-01-17,1073,17,1,False
id3210,2017-11-13,6684,18,57,False
id3210,2017-11-13,6904,18,58,False
id2769,2017-11-16,3545,18,3,False
id4750,2017-11-21,12904,18,7,False
id4750,2017-11-21,13016,18,8,False
id4365,2017-12-15,7638,18,1,False
id4395,2018-01-02,2234,18,2,False
id4395,2018-01-02,2377,18,2,False
id4720,2018-01-17,1151,18,1,False
id1286,2018-01-25,2739,18,5,False
id336,2017-11-26,3634,19,2,False
id336,2017-11-26,3906,19,3,False
id336,2017-11-26,3994,19,3,False
id336,2017-11-26,4040,19,3,False
id1707,2017-12-04,1107,19,2,False
id173,2017-12-05,2492,19,1,False
id4395,2018-01-02,2472,19,2,False
id4309,2017-10-25,5119,20,1,False
id3210,2017-11-13,6993,20,58,False
id4309,2017-10-25,5318,20,1,False
id5770,2017-12-11,1809,20,1,False
id5770,2017-12-11,1870,20,1,False
id5770,2017-12-11,1896,20,1,False
id752,2017-12-21,3596,20,4,False
id4576,2017-12-22,1540,20,4,False
id4576,2017-12-22,1660,20,5,False
id4576,2017-12-22,1779,20,5,False
id4576,2017-12-22,1848,20,5,False
id4576,2017-12-22,1909,20,5,False
id4576,2017-12-22,1949,20,5,False
id2662,2018-01-09,2691,20,5,False
id1286,2018-01-25,2957,20,5,False
id1286,2018-01-25,3068,20,5,False
id1054,2017-11-12,9132,21,8,False
id3325,2013-09-08,5580,21,2,False
id3163,2015-09-03,4742,21,1,False
id3325,2013-09-08,5648,21,2,False
id3325,2013-09-08,5682,21,2,False
id3898,2017-12-22,3963,21,6,False
id724,2018-02-07,3847,21,6,False
id724,2018-02-07,3866,21,6,False
id724,2018-02-07,3893,21,6,False
id724,2018-02-07,3902,21,6,False
id5184,2017-11-09,4850,22,1,False
id302,2017-12-18,4206,22,6,False
id4749,2018-01-07,4810,22,2,False
id642,2018-01-09,3875,22,3,False
id1054,2017-11-12,32483,23,10,False
id1054,2017-11-12,36859,23,10,False
id3163,2015-09-03,4806,23,1,False
id3163,2015-09-03,4842,23,1,False
id4365,2017-12-15,8795,23,1,False
id3898,2017-12-22,4439,23,9,False
id3898,2017-12-22,4816,23,10,False
id3977,2016-06-02,7432,24,5,False
id3898,2017-12-22,5222,24,10,False
id3511,2018-01-16,2516,24,3,False
id3562,2018-01-21,5305,24,16,False
id1707,2017-12-04,1280,25,2,False
id1707,2017-12-04,1370,25,2,False
id3898,2017-12-22,5687,25,10,False
id3898,2017-12-22,6015,25,10,False
id3898,2017-12-22,6279,25,10,False
id4168,2018-02-23,3003,25,3,False
id6021,2017-12-06,4636,26,1,True
id6021,2017-12-06,4903,26,1,True
id6021,2017-12-06,5173,26,2,True
id6021,2017-12-06,5220,26,2,True
id1949,2017-12-14,30361,26,4,False
id3898,2017-12-22,6459,26,10,False
id3898,2017-12-22,6688,26,11,False
id2673,2018-01-03,7406,26,1,False
id642,2018-01-09,5408,26,3,False
id3562,2018-01-21,7416,26,38,False
id3977,2016-06-02,8284,27,7,False
id3977,2016-06-02,8523,27,8,False
id3977,2016-06-02,8784,27,8,False
id1443,2018-01-25,212858,27,591,False
id5571,2018-01-28,33285,27,3,False
id3977,2016-06-02,8950,28,9,False
id3977,2016-06-02,9078,28,9,False
id4749,2018-01-07,7977,28,5,False
id5571,2018-01-28,34659,28,3,False
id1702,2012-12-10,7188,29,2,False
id1702,2012-12-10,7554,29,3,False
id1702,2012-12-10,7689,29,3,False
id1702,2012-12-10,7753,29,3,False
id5079,2017-12-04,6172,29,4,False
id2673,2018-01-03,8025,29,1,False
id5901,2011-11-10,26185,29,4,False
id408,2018-01-06,3721,29,4,False
id5901,2011-11-10,26243,29,4,False
id718,2017-12-21,10731,29,2,False
